school_name,average_FOEI_2016/2017,2018_preliminary_RAM_total_funding,variance_to_2017_needs-based_allocation,"total_three_year_variance_(2016, 2017, 2018)"
Kemblawarra Public School,147,"427,287","128,299","227,616"
Kemps Creek Public School,135,"298,970","-63,272","30,251"
Kempsey East Public School,123,"408,111","-3,069","80,660"
Kempsey High School,156,"1,449,051","105,826","278,374"
Kempsey South Public School,197,"832,543","112,679","221,530"
Kempsey West Public School,187,"1,538,590","-21,592","173,660"
Kendall Public School,110,"271,538","60,471","138,337"
Kensington Public School,4,"362,504","-21,008","17,703"
Kent Road Public School,6,"679,591","139,755","342,741"
Kenthurst Public Sc hool,58,"143,178",759,"36,755"
Kentlyn Public School,121,"222,272","32,270","108,232"
Kentucky Public School,67,"48,425","-2,625","9,144"
Khancoban Public School,114,"65,984","12,557","25,984"
Kiama High School,65,"686,427","117,140","219,447"
Kiama Public School,53,"295,459","42,024","115,550"
Killara High School,3 or less,"1,083,811","189,219","418,742"
Killara Public School,3 or less,"323,920","59,744","104,369"
Killarney Heights High School,25,"550,747","67,805","106,897"
Killarney Heights Public School,3 or less,"507,711","7,510","99,962"
Killarney Vale Public School,123,565.832,"29,473","246,672"
Kinchela Public School,140,"130,286",72.413,"138,271"
Kincumber High School,81,640.563,60.264,"208,546"
Kincumber Public School,89,391.882,"43,193","153,805"
King Park Public School,113,785.842,122.86,"261,382"
King Street Public School,141,"844,944","100,393",272.172
Kings langley Public Sc hool,56,493.114,"92,734",166.407
Kingscliff High School,97,"1,078.20","109,266",367.214
Kingscliff Public School,61,"386,322","81,669","180,263"
Kingsgrove High School,112,"1,381.44","130,278","581,555"
Kingsgrove North High School,115,"1,257,314","-12,659","318,411"
Kingsgrove Public School,102,"687,142","12,668","106,289"
Kingstown Public School,134,"82,651","3,672","26,259"
Kingswood High School,137,"1,513.58",25.426,370.016
Kingswood Park Public School,167,"590,416","34,736","158,937"
Kingswood Public School,61,"478,381",22.413,158.958
Kingswood South Public School,117,"488,521",136,"172,879"
Kirkton Public School,100,54.098,"18,848","26,531"
Kirrawee High School,51,"534,989","93,497","217,882"
Kirrawee Public School,76,220.067,17.463,73.34
Kitchener Public School,137,165.178,1.122,"29,591"
Kogarah High School,116,"1,565.85","-3,743","412,028"
Kogarah Public School,24,"621,429","75,289","153,622"
Koonawarra Public School,168,"840,387",41.924,"104,772"
Koorawatha Public School,152,"100,123","10,433","47,469"
Kooringal High School,94,"822,866","42,751","201,638"
Kooringal Public School,99,"489,541","53,108","200,811"
Kootingal Public Sc hool,112,"310,170","33,642","128,170"
Kororo Public School,76,"501,090",66.83,"175,025"
Kotara High School,61,"630,944","47,048","182,931"
Kotara School,181,90.691,"8,344","20,999"
Kotara South Public School,49,"211,059",21.234,60.78
Krambach Public School,124,"68,575","-10,400","13,749"
Kulnura Public School,94,"70,517","4,896",22.974
Ku-ring-gai High School,49,449.898,"77,816","163,291"
Kurmond Public School,85,"151,893","-2,333","39,814"
Kurnell Public School,97,"200,327",10.163,"60,930"
Kurrajong East Public School,101,56.889,"-15,701","12,260"
Kurrajong North Public Sc hool,41,"54,383",-3.347,"10,430"
Kurrajong Public School,58,"162,514","14,972","41,140"
Kurrambee School,140,"199,657","24,450","90,262"
Kurri Kurri High School,141,"1,897,288","166,176","518,139"
Kurri Kurri Public School,144,"1,551,689","132,191","444,209"
Kyeemagh Infants School,54,"94,974","17,495","32,300"
Kyogle High School,129,669.131,"-4,015","103,089"
Kyogle Public School,124,"593,460","49,823","179,292"
la Perouse Public School,155,"163,390","11,623","43,242"
ladysmith Public School,111,"59,069",-64,"19,059"
laggan Public School,76,"22,320",-1.041,129
laguna Public School,76,52.44,-876,"14,371"
laguna Street Public School,38,"264,933","53,334",112.592
lake Albert Public School,87,"403,933","25,096","139,854"
lake  Cargelligo CentralSchool,144,"936,805",-1.288,"137,233"
lake Cathie Public School,84,"215,050",74.541,"118,835"
lake Heights Public School,148,"310,581",25.811,"41,882"
lake lllawarra High School,156,"1,589,379",83.196,"300,178"
lake lllawarra South Public School,116,"320,523","26,383","124,947"
lake Macquarie High School,154,"978,479","25,990",185.414
lake Munmorah High School,123,"1,096,271","40,705",246.611
lake Munmorah Public School,113,557.722,"-21,300",164.341
lake Wyangan Public School,96,"170,018",23.46,"68,820"
lakelands Public School,133,"526,517",17.726,"217,681"
lakemba Public School,96,"902,535",45.052,"184,527"
lakeside School,167,130.236,"20,613","49,070"
lalor Park Public School,136,"364,637","38,281",120.341
lambton High School,66,"691,499",29.014,"185,814"
lambton Public School,68,"285,512",2.355,"80,097"
lane Cove Public School,3 or less,"507,712",46.355,"144,065"
lane Cove West Public School,3 or less,"287,173","21,325","122,670"
lansdowne Public School,154,"132,569",-19.952,"-29,066"
lansvale East Public School,160,514.741,"124,473",208.012
lansvale Public School,136,"1,462,557","63,856","237,287"
lapstone Public School,15,"146,974","31,333","63,770"
largs Public School,97,"158,813","41,665","82,431"
larnook Public School,107,"51,355","-3,098","7,794"
laurieton Public School,122,290.75,"19,799","122,561"
lavington East Public School,119,"594,933","30,430","150,224"
lavington Public School,130,"620,795","91,733","229,510"
lawrence Hargrave School,209,185.27,4.796,26.495
lawrence Public School,149,"175,464","20,689",66.489
lawson Public School,72,208.218,"8,590","64,400"
leeton High School,124,"851,603","-6,771",150.925
leeton Public School,89,"401,439","5,115","117,735"
leeville Public School,147,"118,720",15.939,"43,124"
leichhardt Public School,3 or less,"345,499","46,214",134.107
lennox Head Public School,55,"235,541","35,707","88,020"
leonay Public School,62,169.219,19.894,"59,289"
leppington Public School,120,261.287,"18,803","40,518"
les Powell School,158,"179,786",6.16,48.646
lethbridge Park Public School,175,"1,459.50","-23,815","243,150"
leumeah High School,122,"1,150,711","79,614","367,056"
leumeah Public School,78,"629,678",45.564,"230,202"
leura Public School,49,"189,651","22,509","60,642"
lewisham Public School,22,"170,998","72,032","107,704"
lidcombe Public School,95,"1,268,027","94,699","363,781"
lightning Ridge Central School,147,"1,422.51","-1,695","113,066"
lilli Pilli Public School,30,189.867,18.095,"62,870"
lincoln School,212,204.506,"4,078","31,337"
lindfield East Public School,3 or less,"413,071","41,565","112,962"
lindfield Public School,3 or less,"551,518",97.006,"304,681"
lindsay Park Public School,50,265.496,"43,662",115.676
lisarow High School,89,"567,478","45,680","142,909"
lisarow Public School,65,"186,725","17,923","66,775"
lismore Heights Public School,118,"424,405",7.18,"143,373"
lismore Public School,120,"567,609","4,868",212.234
lismore South Public School,131,"536,567",48.833,"147,009"
lithgow High School,128,"1,334,543","28,271",323.369
lithgow Public School,134,"826,692","71,144",218.444
liverpool Boys High School,147,"1,480,835","54,300",400.916
liverpool Girls High School,151,"2,339,147","-3,464",300.798
liverpool HospitalSchool,100,"12,482","1,553",7.755
liverpool Public School,138,"1,877.70",338.235,"570,155"
liverpool West Public School,165,2.224723,"308,947","450,153"
llandilo Public School,119,523.934,"50,434","190,852"
lochinvar Public School,115,"216,809",54.916,149.312
lockhart CentralSchool,136,282.787,"21,791","40,112"
loftus Public School,42,250.917,"-3,124","13,801"
lomandra School,187,"199,519",-10.921,"33,697"
londonderry Public School,138,"397,082",-5.859,"119,269"
long Flat Public School,122,"76,014",51,"29,929"
longneck lagoon Environmental Education Centre,-,"16,371",2.953,"9,749"
lord Howe Island Central School,37,80.113,"8,034","17,842"
louth Public School,111,"36,100","1,499","12,770"
lowanna Public School,186,"126,631","-7,342","19,966"
lowesdale Public School,50,"25,180","3,137","6,821"
lucas Gardens School,89,35.193,"8,744",19.327
lucas Heights Community School,72,"477,308","26,837","111,649"
luddenham Public School,129,"138,450",-2.593,"31,714"
lue Public School,169,"72,913","4,850","13,879"
lugarno Public School,41,"228,456",38.872,"95,736"
lurnea High School,164,"2,250.28","272,851","522,607"
lurnea Public School,164,"1,574,564",247.621,"512,861"
lyndhurst Public School,139,"96,678","9,108","34,508"
lynwood Park Public School,108,359.411,"-11,493","102,561"
Macarthur Girls High School,72,"881,377","106,372","202,484"
Macdonald Valley Public School,113,33.217,"2,144","6,583"
Macintyre High School,117,"801,483",70.984,"236,772"
Macksville High School,122,"898,472",31.553,287.754
Macksville Public School,134,"781,600",-49.463,"169,454"
Maclean High School,108,"1,017.34","-28,455",288.941
Maclean Public School,126,374.887,"-1,148",76.196
Macquarie Fields High School,64,"684,714",-30.451,131.188
Macquarie Fields Public School,82,943.533,"64,165",350.92
Madang Avenue Public School,168,"1,111,439","88,866","199,993"
Maimuru Public School,87,43.003,"13,305","13,813"
Main Arm Upper Public School,89,"72,868","14,405",30.86
Mainsbridge School,141,"226,284","15,893","98,293"
Maitland East Public School,105,"662,615",33.486,"252,898"
Maitland Grossmann High School,93,"1,046.58",75.013,"344,450"
Maitland High School,129,"1,559,602",73.904,"369,545"
Maitland Public School,117,"546,093","37,126","191,963"
Malabar Public School,42,"181,819",-6.625,"39,439"
Mallawa Public School,151,"46,870","1,800","18,595"
Mandurama Public School,119,34.469,"4,622","13,372"
Manifold Public School,124,"61,579","3,690",29.734
Manildra Public School,123,"88,821","16,791",47.122
Manilla Central School,142,"973,916","3,895","153,030"
Manly Vale Public School,15,"254,682","21,997",110.489
Manly Village Public School,3 or less,367.364,"25,001","136,085"
Manly West Public School,3 or less,401.53,"12,090","114,986"
Mannering Park Public School,129,"438,071","13,322","120,579"
Manning Gardens Public School,196,730.292,"-22,555",-17.734
Maraylya Public School,65,"75,578","20,384","38,484"
Marayong Heights Public School,110,"414,161","27,589","179,339"
Marayong Public School,103,787.782,-58.224,123.838
Marayong South Public School,99,515.659,"74,562","130,140"
Marie Bashir Public School,25,389.568,90.94,111.235
Marks Point Public School,126,"263,776","52,441","132,627"
Maroota Public School,100,"41,537","-7,911",-199
Maroubra Bay Public School,44,"323,303",46.449,"102,583"
Maroubra Junction Public School,13,"476,502","10,746","64,938"
Marra Creek Public School,84,"32,391","1,069",7.225
Marrar Public School,76,"34,519",8.172,"19,589"
Marrickville High School,115,564.988,"-1,647","75,121"
Marrickville Public School,41,242.216,"11,465","35,687"
Marrickville West Public School,51,358.867,54.313,"137,935"
Marsden High School,88,"1,153,901","236,380","297,469"
Marsden Park Public School,115,"87,245","7,954","46,030"
Marsden Road Public School,136,"1,593,363","270,352","578,033"
Martindale Public School,113,41.268,-211,"1,246"
Martins Creek Public School,124,"28,835","9,851",14.466
Martins Cully Public School,55,"150,610","26,814","53,803"
Marton Public School,68,"248,822","46,996",109.974
Marulan Public School,146,233.445,"29,134","122,513"
Mary Brooksbank School,147,"192,484","17,848","74,554"
Maryland Public School,102,480.276,"1,632","144,709"
Mascot Public School,64,"506,592","26,516","48,291"
Mathoura Public School,128,"112,667",-8.435,36.747
Matong Public School,86,39.977,"-9,598","-3,534"
Matraville Public School,93,"398,606","37,266","87,639"
Matraville Soldiers Sett lement Public School,86,"332,888","-15,887","111,639"
Matraville Sports High School,122,"542,997","-30,850","69,751"
Matthew Pearce Public School,3 or less,"959,302","132,562","279,312"
Mawarra Public School,76,"288,307","17,327","107,191"
Mayfield East Public School,100,"289,444","-57,420","17,488"
Mayfield West Public School,102,"374,179","38,558","202,267"
Mayrung Public School,113,"59,807","-4,615","13,633"
McCallums Hill Public School,104,"669,228","134,225","259,075"
Meadow Flat Public School,84,"48,646","-7,896","1,649"
Meadowbank Public School,16,"276,650","61,958","133,178"
Medlow Public School,131,"29,705","-1,001",201
Medowie Public School,94,"350,152","51,061","160,116"
Megalong Public School,49,"19,868",649,"4,025"
Melrose Park Public School,41,"160,486","17,683","45,265"
Melville High School,136,"1,507,170","57,673","334,806"
Menai High Sc hool,69,"856,988","53,456","293,986"
Menai Public School,110,"119,726","16,076","56,424"
Mendooran CentralSchool,131,"376,395","57,904","141,410"
Menindee CentralSchool,165,"491,865","5,220","35,741"
Merewether Heights Public School,22,"172,631","20,677","64,527"
Merewether High Sc hool,5,"398,819","52,983","137,143"
Merewether Public School,87,"176,615","10,145","60,526"
Merimbula Public School,86,"449,588","13,431","127,036"
Merriwa Central School,141,"833,024","83,646","227,080"
Merrylands East Public Sc hool,131,"873,397","126,819","217,423"
Merrylands High School,148,"1,914,655","191,789","400,277"
Merrylands Public Sc hool,148,"1,252,712","86,737","347,917"
Metella Road Public School,54,"628,028","57,043","107,252"
Metford Public School,148,"821,459","40,537","176,265"
Mian School,230,"139,871","6,743","53,849"
Michelago Public School,82,"36,867","6,908","16,246"
Middle Dural Public Sc hool,74,"24,571","3,523","2,111"
Middle Harbour Public School,3 or less,"330,523","39,234","147,238"
Middleton Grange Public School,93,"442,515","114,893","216,871"
Middleton Public School,124,"561,418","82,173","203,101"
Milbrodale Public School,146,"34,352","-4,863","4,487"
Miller High School,178,"2,305,724","254,828","267,392"
Miller Public School,163,"734,791","138,214","238,162"
Millers Forest Public School,154,"170,895","48,574","113,925"
Millfield Public School,139,"139,155","-21,383","31,324"
Millthorpe Public School,52,"195,962","21,648","61,848"
Milperra Public School,78,"235,597","40,328","95,978"
Milton Public School,76,"496,498","11,719","136,488"
Mimosa Public School,19,"232,901","50,383","119,446"
Minchinbury Public School,99,"560,224",182,"155,479"
Minerva School,122,"56,077","10,967","33,255"
Mingoola Public School,211,"60,447","19,912","37,776"
Minmi Public School,84,"78,335","4,456","27,575"
Minnamurra Public School,57,"244,588","21,224","68,960"
Minto Public School,83,"249,980","7,904","41,465"
Miranda North Public School,76,"230,998","13,642","69,669"
Miranda Public School,81,"280,957","15,050","57,727"
Mitchell High School,120,"1,380,335","-60,209","39,942"
Mitchells Island Public School,147,"65,461","-18,130","-7,311"
Mittagong Public School,94,"488,810","59,375","224,766"
Moama Public School,109,"422,933","69,768","237,069"
Modanville Public School,82,"69,279","-3,693","11,063"
Model Farms High School,55,"575,667","91,035","195,965"
Mogo Public School,189,"244,086","-50,034","38,773"
Molong Central School,108,"644,677","40,865","240,540"
Mona Vale Public School,33,"521,543","55,521","200,164"
Monaro High School,104,"569,891","44,478","165,062"
Monteagle Public School,158,"83,628","17,925","60,718"
Moonbi Public School,143,"148,848",511,"46,627"
Moorebank High School,91,"882,633","121,388","312,138"
Moorefie ld Girls High School,106,"477,047","21,154","102,378"
Moorland Public School,140,"117,905",751,"14,732"
Moree East Public School,215,"884,630","-20,748","170,419"
Moree Public School,127,"1,605,365","80,032","493,267"
Moree Secondary College Albert St Campus,136,"657,378","7,330","80,960"
Moree Secondary College Carol Ave Campus,161,"1,096,613","15,321","167,533"
Morgan Street Public School,94,"363,953","48,626","133,535"
Morisset High School,125,"1,178,909","-53,287","238,643"
Morisset Public School,125,"421,130","27,964","108,324"
Morpeth Public School,92,"201,870","20,125","82,751"
Mortdale Public School,61,"457,346","26,048","63,777"
Mortlake Public School,28,"299,404","-24,720","65,063"
Moruya High School,104,"748,462","76,667","301,422"
Moruya Public School,121,"583,535","64,793","255,782"
Mosman High School,5,"561,083","93,522","187,892"
Mosman Public School,3 or less,"390,858","64,393","117,735"
Moss Vale High School,101,"639,090","59,772","242,270"
Moss Vale Public Schoo l,95,"520,492",-7.7,"191,650"
Moulamein Public School,100,"90,323",-92,"11,868"
Mount Annan High School,105,"754,038","145,739","378,406"
Mount Annan Public School,87,"566,391","78,760","263,450"
Mount Austin High School,172,"1,934,616","45,093","73,992"
Mount Austin Public School,185,"1,076,318","116,826","255,046"
Mount Brown Public School,110,"433,460","38,568","207,419"
Mount Colah Public School,40,"226,114","12,659","80,150"
Mount Druitt Public School,111,"1,091,690","62,284","212,682"
Mount George Public School,133,"82,098","21,900","37,670"
Mount Hunter Public School,126,"57,325","-12,813","6,420"
Mount Hutton Public School,137,"364,381","5,474","104,168"
Mount Kanwary Public School,95,"38,165","3,018","17,716"
Mount Keira Public Sc hool,34,"48,683","6,253","19,478"
Mount Kembla Public School,66,"90,435","-16,578","3,456"
Mount Kuring-gai Public School,53,"104,025","27,237","50,837"
Mount lewis Infants School,111,"443,646","5,412","93,494"
Mount Ousley Public Sc hool,70,"189,801","14,581","44,100"
Mount Pleasant Public Sc hool,122,"115,396","26,593","61,131"
Mount Pritchard East Public School,145,"637,230","23,049","139,283"
Mount Pritchard Public Sc hool,141,"979,429","-4,663","141,189"
Mount Riverview Public School,56,"160,513","5,126","45,556"
Mount St Thomas Public School,43,"214,547","41,972","84,058"
Mount Terry Public School,100,"671,560","78,064","330,759"
Mount Victoria Public School,83,"83,774","11,428","36,189"
Mount View High School,133,"1,822,143","255,947","580,399"
Mount Warrigal Public School,143,"634,297","6,417","127,951"
Mowbray Public School,3 or less,"369,880","83,264","169,088"
Mudgee High School,112,"1,130,588","83,994","370,588"
Mudgee Public School,115,"943,833","179,346","512,598"
Muirfield High School,58,"711,454","247,905","355,779"
Mulbring Public School,115,"65,625","22,757","39,124"
Mulgoa Public School,103,"64,523",-978,"28,973"
Mullaley Public School,99,"61,050",-407,"16,587"
Mullaway Public School,95,"236,813","18,523","90,812"
Mullengandra Public Sc hool,164,"17,728","-2,182","3,433"
Mullion Creek Public School,80,"40,601","4,361","18,494"
Mullumbimby High School,84,"546,435","45,728","200,233"
Mullumbimby Public Sc hool,85,"156,341",111,"35,310"
Mulwala Public School,98,"73,463","-3,896","9,598"
Mulwaree High School,107,"911,833","108,429","395,031"
Mulyan Public School,136,"608,459","-65,601","119,365"
Mumbil Public School,161,"60,802","-13,232","-14,528"
Mummulgum Public School,162,"88,745","14,434","40,420"
MungindiCentralSchool,147,"479,836","-16,889","119,393"
Murray Farm Public School,3 or less,"952,295","151,453","307,101"
Murray High School,131,"1,312,039","29,733","292,227"
Murringo Public School,109,"65,893","20,437","26,015"
Murrumburrah High School,139,"324,315","4,191","34,898"
Murrumburrah Public School,124,"300,496","15,741","85,817"
Murrurundi Public School,146,"144,502","-22,967","24,933"
Murwillumbah East Public School,124,"446,694","31,607","133,927"
Murwillumbah High School,125,"788,496","30,703","251,799"
Murwillumbah Public School,113,"423,057","71,150","181,027"
Muswellbrook High Sc hool,137,"1,748,503","175,601","575,890"
Muswellbrook Public School,118,"853,613","31,643","281,548"
Muswellbrook South Public School,171,"1,868,886","273,032","480,163"
Nabiac Public School,131,"399,575","62,828","163,303"
Nambucca Heads High Sc hool,137,"876,642","8,109","184,267"
Nambucca Heads Public School,120,"514,728","64,507","175,478"
Nana Glen Public School,97,"192,071","29,487","81,115"
Nangus Public School,113,"64,660","9,400","16,092"
Naradhan Public School,62,"38,013","4,768","12,261"
Narara Public School,80,"304,254","23,274","131,064"
Narara Valley High School,100,"892,353","19,784","262,751"
Nareena Hills Public School,45,"194,752","25,879","67,407"
Narellan Public School,120,"482,569","-42,173","120,872"
Narellan Vale Public Sc hool,94,"701,533","23,189","233,205"
Naremburn School,108,"31,764","-1,483","18,660"
Narooma High School,116,"750,703","110,727","277,993"
Narooma Public School,105,"624,377","96,806","287,630"
Narrabeen lakes Public School,58,"270,869","55,089","115,283"
Narrabeen North Public School,43,"375,724","67,460","147,904"
Narrabeen Sports High Sc hool,70,"476,241","112,443","189,114"
Narrabri High School,110,"886,387","39,299","173,973"
Narrabri Public School,127,"962,037","160,394","437,252"
Narrabri West Public School,109,"609,428","108,048","275,909"
Narrandera East Infants School,135,"152,819","-3,035","66,195"
Narrandera High School,127,"643,502","-1,955","98,365"
Narrandera Public School,128,"716,874","2,790","132,361"
Narranga Public School,104,"656,051","20,140","277,734"
Narraweena Public School,60,"350,689","94,423","136,868"
Narromine High School,153,"973,513","40,710","125,969"
Narromine Public Sc hool,143,"1,202,465","72,105","277,182"
Narwee Public School,94,"496,866","12,500","83,528"
Nashdale Public School,26,"65,820","18,817","34,608"
Nemingha Public School,75,"156,928","3,754","43,764"
Nepean Creative and Performing Arts High School,96,"921,761","91,210","413,220"
Neutral Bay Public School,3 or less,"435,111","71,922","181,382"
Neville Public School,102,"34,589","-3,505","7,884"
New lambton Heights Infants School,4,"42,925","7,294","17,125"
New lambton Public School,21,"302,921","21,966","70,802"
New lambton South Public Sc hool,39,"261,325","2,825","71,563"
Newbridge Heights Public School,56,"430,314","22,973","89,678"
Newcastle East Public School,3 or less,"145,830","12,868","42,332"
Newcastle High Sc hool,90,"972,363","181,334","442,862"
Newcastle Junior School,148,"119,263","27,052","61,511"
Newcastle Middle School,102,"42,982","-10,439","21,309"
Newcastle Senior Sc hool,147,"134,881","52,465","102,499"
Newington Public School,16,"815,516","183,061","239,762"
Newling Public School,190,"535,471","70,609","197,802"
Newport Public School,32,"395,606","46,631","153,987"
Newrybar Public School,51,"26,654","2,245","7,437"
Newtown High Sc hool of Performing Arts,4,"444,403","52,407","153,711"
Newtown North Public School,3 or less,"155,501","10,787","39,380"
Newtown Public School,3 or less,"230,724","33,193","98,826"
Niagara Park Public School,84,"448,674","76,453","185,945"
Niangala Public School,171,"43,707","-4,379","8,888"
Nicholson Street Public School,3 or less,"108,182","2,447","23,795"
Niland School,207,"157,618",-40.635,"-35,678"
Nillo Infants School,62,"53,928","6,550","16,458"
Nimbin Central School,127,"412,534","58,785","130,756"
Nimmitabe l Public Sc hool,96,61.431,18.501,"30,876"
Nords Wharf Public School,82,"95,095","23,633",46.626
Normanhurst Boys High School,3 or less,"324,221",55.18,"138,411"
Normanhurst Public School,3 or less,197.702,24.245,63.18
Normanhurst West Public School,3 or less,"256,858","30,033","101,981"
North East Public Sc hool of Distance Education,92,225.972,"64,661","125,636"
North Gosford learning Centre,168,"81,697",10.19,"22,305"
North Haven Public School,105,"322,108",42.584,"138,851"
North Nowra Public School,134,"468,858","-20,587",127.317
North Rocks Public School,16,585.437,"83,064","265,709"
North Ryde Public School,15,"279,186",63.78,"36,113"
North Star Public School,131,"95,185","12,963",45.487
North Sydney Boys High School,3 or less,"357,360","53,258","141,428"
North Sydney Girls High School,3 or less,"402,706","74,496","177,316"
North Sydney Public School,3 or less,"487,278","115,299","189,982"
North Wagga Public School,80,"223,865",27.601,"95,730"
Northbridge Public Sc hool,3 or less,232.671,"19,547",80.109
Northern Beaches Secondary College Balgowlah Boys Campus,42,"505,689","75,062","163,242"
Northern Beaches Secondary College Cromer Campus,91,"524,416","44,971","120,999"
Northern Beaches Secondary College Freshwater Senior Campus,48,361.943,"45,647",112.138
Northern Beaches Secondary College Mackellar Girls Campus,41,"808,690","123,580",296.593
Northern Beaches Secondary College Manly Campus,3 or less,"295,809","44,455","120,620"
Northlakes High Sc hool,141,1.7705,"-53,073",228.186
Northlakes Public School,143,"839,908",-625,"187,845"
Northmead Creative and Performing Arts High School,84,"826,327","85,021","218,132"
Northmead Public School,52,"487,781",75.957,157.095
Noumea Public School,177,"1,040,455","24,307","176,773"
Nowendoc Public Sc hool,147,39.766,"-12,389","-1,622"
Nowra East Public School,187,"1,816,653","201,191",429.593
Nowra High School,104,"1,037,063","54,678","365,273"
Nowra Hill Public School,106,"176,359","81,039","132,977"
Nowra Public Sc hool,129,"1,174,239","83,230","391,456"
NSW School of languages,-,"138,075","13,661",23.451
Nulkaba Public School,103,"480,410",70.624,236.958
Nundle Public School,124,"130,009","-5,445","-6,117"
Nuwarra Public School,112,"686,662","154,802","308,622"
Nymboida Public School,106,"39,024","-6,314","4,089"
Nyngan High School,122,"542,613",34.057,53.995
Nyngan Public School,147,"561,805",15.948,"58,446"
Oak Flats High School,132,"1,391,710","86,697",465.433
Oak Flats Public School,115,"555,878","80,053","299,211"
Oakdale Public School,123,"236,797","-42,972",49.604
Oakhill Drive Public School,4,"387,288",29.711,"126,481"
Oaklands Central School,97,"154,302","-3,075","4,100"
Oakville Public School,101,"393,651",22.593,"165,986"
Oatlands Public School,44,"183,584","18,992","16,191"
Oatley Public School,11,"420,397","40,875","81,279"
Oatley West Public School,12,"344,132","3,196","97,661"
Oberon High School,126,"433,857","17,656","72,768"
Oberon Public School,131,"504,939","14,113","145,635"
Observatory Hill Environmenta l Education Centre,-,"16,047","2,629","9,101"
Ocean Shores Public School,60,"212,142","12,952","58,961"
O'Connell Public School,35,"45,319","3,814","14,872"
Old Bar Public School,105,"561,775","64,908","221,474"
Old Bonalbo Public School,176,"82,661","9,136","28,747"
Old Guildford Public School,187,"1,808,514","243,866","329,959"
Orama Public School,111,"60,162","4,119","17,541"
Oran Park Public School,83,"840,119","361,695","638,167"
Orana Heights Public School,107,"1,011,340","88,206","368,974"
Orange East Public School,125,"474,012","-22,837","65,468"
Orange Grove Public School,4,"237,685","56,613","112,539"
Orange High School,91,"1,005,853","113,063","342,914"
Orange Public School,68,"528,103","79,793","196,291"
Orara High School,140,"1,571,129","208,384","408,511"
Orara Upper Public School,107,"41,752","9,059","23,485"
Orchard Hills Public School,94,"140,481","47,623","76,487"
Otford Public School,16,"35,612","2,606","11,057"
Ourimbah Public School,73,"301,092","37,227","127,004"
Oxley High School,104,"1,265,148","216,825","579,879"
Oxley Island Public School,123,"21,258","-16,763","-11,845"
Oxley Park Public School,137,"1,151,868","53,192","254,368"
Oxley Vale Public School,130,"790,350","75,817","242,185"
Oyster Bay Public School,29,"206,587","27,700","89,013"
Pacific Palms Public School,92,"300,566","59,452","147,333"
Paddington Public School,3 or less,"241,866","32,723","85,257"
Padstow Heights Public School,69,"279,588","19,685","69,802"
Padstow North Public School,65,"335,827","50,783","102,319"
Padstow Park Public School,80,"336,527","-14,442","47,078"
Pagewood Public School,35,"170,060","-20,643","21,240"
Palinyewah Public School,107,"34,760","-10,347","8,527"
Pallamallawa Public School,164,"103,192","-26,857","-24,708"
Palm Avenue School,-,"22,626","2,473","11,383"
Palmers Island Public School,101,"65,329","-7,838","6,421"
Pambula Public School,84,"346,092","43,881","140,210"
Panania North Public School,77,"380,508","43,028","132,728"
Panania Public School,61,"349,714","56,257","137,839"
Para Meadows School,107,"137,041","21,130","71,720"
Parkes East Public School,114,"457,686","27,582","139,069"
Parkes High School,124,"1,186,546","55,722","207,389"
Parkes Public School,114,"714,760","78,181","232,241"
Parklea Public School,48,"610,160","52,582","143,957"
Parkview Public School,141,"969,117","202,009","471,433"
Parramatta East Public School,43,"472,904","127,772","177,421"
Parramatta High Sc hool,62,"778,902","39,526","114,089"
Parramatta North Public School,64,"458,599","-32,816","158,923"
Parramatta Public School,6,"1,006,138","87,126","190,485"
Parramatta West Public School,76,"1,093,718","156,088","329,456"
Parry School,211,"87,909","-1,591","32,674"
Passfield Park School,148,"157,433","3,917","67,753"
Paterson Public School,101,"100,505","23,704","47,520"
Paxton Public School,166,"133,912","15,456","27,774"
Peak Hill Central School,162,"696,455","52,446","144,524"
Peakhurst Public School,64,"532,956","-29,184","89,177"
Peakhurst South Public School,67,"215,043","35,120","84,727"
Peakhurst West Public School,81,"311,279","12,059","39,164"
Peats Ridge Public School,97,"56,059","5,449","16,246"
Peel High School,152,"2,192,679","136,189","366,967"
Pelaw Main Public School,141,"517,567","20,604","140,532"
Pelican Flat Public School,122,"80,368","5,431","17,909"
Pendle Hill High School,136,"784,437","69,977","135,717"
Pendle Hill Public School,70,"384,278","5,821","78,599"
Pennant Hills High School,30,"747,816","110,614","305,959"
Pennant Hills Public Sc hool,3 or less,"392,564","44,777","170,983"
Penrith High Sc hool,4,"342,883","43,318","109,752"
Penrith lakes Environmental Education Centre,-,"16,371","2,953","9,749"
Penrith Public School,108,"648,724","81,329","241,528"
Penrith South Public School,118,"659,876","58,257","277,330"
Penrith Valley learning Centre,182,"118,328",-861,"9,317"
Penrose Public School,22,"21,808",153,"1,563"
Penshurst Public School,59,"617,914","88,679","86,554"
Penshurst West Public School,78,"310,437","9,646","38,030"
Perthville Public School,82,"113,195","37,159","68,638"
Peterborough School,132,"145,113","17,538","76,713"
Petersham Public School,4,"212,651","39,888","56,785"
Picnic Point High School,92,"786,248","137,021","349,866"
Picnic Point Public School,29,"273,743","20,632","69,941"
Picton High School,117,"1,595,062","115,632","563,024"
Picton Public School,92,"327,086","12,430","112,231"
Pilliga Public School,178,"105,850",837,"14,234"
Pitt Town Public School,90,"219,021","12,462","84,886"
